fips,above_average_vax_rate
17139,FALSE
17141,TRUE
17143,TRUE
17145,FALSE
17147,TRUE
17149,FALSE
17151,FALSE
17153,FALSE
17155,TRUE
17157,FALSE
17159,FALSE
17161,TRUE
17163,TRUE
17165,TRUE
17167,TRUE
17169,TRUE
17171,FALSE
17173,FALSE
17175,TRUE
17177,TRUE
17179,TRUE
17181,TRUE
17183,FALSE
17185,TRUE
17187,TRUE
17189,TRUE
17191,FALSE
17193,TRUE
17195,TRUE
17197,TRUE
17199,TRUE
17201,TRUE
17203,TRUE
18001,FALSE
18003,TRUE
18005,TRUE
18009,FALSE
18011,TRUE
18013,FALSE
18015,FALSE
18017,FALSE
18019,TRUE
18021,TRUE
18023,FALSE
18025,FALSE
18027,FALSE
18029,TRUE
18031,FALSE
18033,FALSE
18035,FALSE
18037,TRUE
18039,FALSE
18041,FALSE
18043,TRUE
18045,FALSE
18047,FALSE
18049,FALSE
18051,FALSE
18053,FALSE
18055,FALSE
18057,TRUE
18059,TRUE
18061,TRUE
18063,TRUE
18065,TRUE
18067,FALSE
18069,FALSE
18071,TRUE
18073,FALSE
18075,FALSE
18077,TRUE
18079,FALSE
18081,TRUE
18083,FALSE
18085,FALSE
18087,FALSE
18089,TRUE
18091,TRUE
18093,FALSE
18095,TRUE
18097,TRUE
18099,FALSE
18101,FALSE
18103,FALSE
18105,TRUE
18107,FALSE
18109,TRUE
18111,FALSE
18113,FALSE
18115,TRUE
18117,TRUE
18119,FALSE
18121,FALSE
18123,TRUE
18125,TRUE
18127,TRUE
18129,FALSE
18131,FALSE
18133,FALSE
18135,FALSE
18137,FALSE
18139,FALSE
18141,TRUE
18143,FALSE
18145,TRUE
18147,FALSE
18149,FALSE
18151,FALSE
18153,FALSE
18155,FALSE
18157,TRUE
18159,FALSE
18161,FALSE
18163,TRUE
18165,FALSE
18167,FALSE
18169,FALSE
18171,FALSE
18173,TRUE
18175,FALSE
18177,FALSE
18179,FALSE
18181,TRUE
18183,FALSE
19001,FALSE
19003,TRUE
19005,TRUE
19007,FALSE
19009,TRUE
19011,TRUE
19013,TRUE
19015,TRUE
19017,TRUE
19019,TRUE
19021,TRUE
19023,TRUE
19025,TRUE
19027,TRUE
19029,TRUE
19031,TRUE
19033,TRUE
19035,TRUE
19037,TRUE
19039,TRUE
19041,TRUE
19043,FALSE
19045,TRUE
19047,TRUE
19049,TRUE
19051,FALSE
19053,FALSE
19055,TRUE
19057,TRUE
19059,TRUE
19061,TRUE
19063,FALSE
19065,TRUE
19067,TRUE
19069,TRUE
19071,TRUE
19073,TRUE
19075,TRUE
19077,TRUE
19079,TRUE
19081,FALSE
19083,TRUE
19085,TRUE
19087,TRUE
19089,TRUE
19091,FALSE
19093,TRUE
19095,TRUE
19097,TRUE
19099,TRUE
19101,FALSE
19103,TRUE
19105,TRUE
19107,FALSE
19109,TRUE
19111,FALSE
19113,TRUE
19115,TRUE
19117,FALSE
19119,FALSE
19121,TRUE
19123,FALSE
19125,TRUE
19127,TRUE
19129,TRUE
19131,FALSE
19133,TRUE
19135,FALSE
19137,TRUE
19139,TRUE
19141,TRUE
19143,FALSE
19145,TRUE
19147,TRUE
19149,TRUE
19151,TRUE
19153,TRUE
19155,TRUE
19157,TRUE
19159,TRUE
19161,TRUE
19163,TRUE
19165,TRUE
19167,FALSE
19169,TRUE
19171,TRUE
19173,FALSE
19175,TRUE
19177,FALSE
19179,FALSE
19181,TRUE
19183,TRUE
19185,FALSE
19187,TRUE
19189,TRUE
19191,TRUE
19193,TRUE
19195,FALSE
19197,TRUE
20001,FALSE
20003,FALSE
20005,FALSE
20007,FALSE
20009,FALSE
20011,FALSE
20013,TRUE
20015,FALSE
20017,FALSE
20019,FALSE
20021,FALSE
20023,FALSE
20025,FALSE
20027,TRUE
20029,FALSE
20031,TRUE
20033,FALSE
20035,FALSE
20037,FALSE
20039,FALSE
20041,TRUE
20043,FALSE
20045,TRUE
20047,FALSE
20049,FALSE
20051,FALSE
20053,TRUE
20055,TRUE
20057,FALSE
20059,TRUE
20061,TRUE
20063,TRUE
20065,TRUE
20067,FALSE
20069,FALSE
20071,TRUE
20073,FALSE
20075,FALSE
20077,FALSE
20079,FALSE
20081,FALSE
20083,FALSE
20085,TRUE
20087,TRUE
20089,FALSE
20091,TRUE
20093,TRUE
20095,FALSE
20097,TRUE
20099,FALSE
20101,FALSE
20103,TRUE
20105,FALSE
20107,FALSE
20109,FALSE
20111,TRUE
20113,TRUE
20115,FALSE
20117,TRUE
20119,FALSE
20121,FALSE
20123,TRUE
20125,FALSE
20127,TRUE
20129,FALSE
20131,TRUE
20133,FALSE
20135,TRUE
20137,FALSE
20139,TRUE
20141,FALSE
20143,FALSE
20145,FALSE
20147,FALSE
20149,FALSE
20151,FALSE
20153,FALSE
20155,FALSE
20157,TRUE
20159,FALSE
20161,FALSE
20163,FALSE
20165,TRUE
20167,FALSE
20169,FALSE
20171,FALSE
20173,TRUE
20175,TRUE
20177,TRUE
20179,FALSE
20181,FALSE
20183,FALSE
20185,FALSE
20187,TRUE
20189,FALSE
20191,FALSE
20193,FALSE
20195,FALSE
20197,FALSE
20199,FALSE
20201,TRUE
20203,TRUE
20205,FALSE
20207,FALSE
20209,TRUE
21001,FALSE
21003,FALSE
21005,TRUE
21007,FALSE
21009,FALSE
21011,TRUE
21013,FALSE
21015,TRUE
21017,TRUE
21019,FALSE
21021,TRUE
21023,FALSE
21025,TRUE
21027,FALSE
21029,FALSE
21031,FALSE
21033,TRUE
21035,FALSE
21037,TRUE
21039,FALSE
21041,TRUE
21043,FALSE
21045,FALSE
21049,TRUE
21051,FALSE
21053,FALSE
21055,FALSE
21057,FALSE
21059,TRUE
21061,FALSE
